new_street,street
R DOS PATRIOTAS,R. dos Patriotas
VD DONA PAULINA,Vd. Da. Paulina
AV PAULISTA,Av. Paulista
R PAULO EIRO,R. Paulo Eiró
R DESEM PAULO PASSALAQUA,R. Des. Paulo Passaláqua
AV PDE ORLANDO GARCIA DA SILVEIRA,Av. Pe. Orlando Garcia da Silveira
AV PEDRO BUENO,Av. Pedro Bueno
AV GAL PEDRO LEON SCHNEIDER,Av. Gen. Pedro Leon Schneider
AV DOM PEDRO I,Av. D. Pedro I - Pista Central
AV DOM PEDRO I,Av. D. Pedro I - Pista Lateral
AV DOM PEDRO I,Av. D. Pedro I
PQ DOM PEDRO II,Prq. D. Pedro II
AV PEDROSO DE MORAIS,Av. Pedroso de Morais
AV PENHA DE FRANCA,Av. Penha de França
R JOSE BARROS MAGALDI,R. José Barros Magaldi
R ALM PEREIRA GUIMARAES,R. Alm. Pereira Guimarães
R ALM PESTANA,R. Alm. Pestana
R JUAN DE LA CRUZ,R. Juan de La Cruz
R PIO XI,R. Pio XI
AV ELISEU DE ALMEIDA,Av. Eliseu de Almeida
AV ELISEU DE ALMEIDA,Av. Eliseu de Almeida - Pista Lateral
AV CARLOS LACERDA,Av. Carlos Lacerda
R PIRES DO RIO,R. Pires do Rio
R DR PLINIO BARRETO,R. Dr. Plínio Barreto
ES DE POA,Est. de Poá
AV POMPEIA,Av. Pompéia
R DA PRATA,R. da Prata
R MANUEL ARCE,R. Manuel Arce
AV PRESTES MAIA,Av. Prestes Maia - Pista Lateral
AV PRESTES MAIA,Av. Prestes Maia
R CAP PUCCI,R. Cap. Pucci
AV SEN QUEIROS,Av. Sen. Queirós - Pista Esq.
AV SEN QUEIROS,Av. Sen. Queirós
AV SEN QUEIROS,Av. Sen. Queirós - Pista Dir.
AV QUEIROZ FILHO,Av. Queiroz Filho
R S RAIMUNDO,R. São Raimundo
AV RAIMUNDO PEREIRA DE MAGALHAES,Av. Raimundo Pereira de Magalhães
AV RANGEL PESTANA,Av. Rangel Pestana
AV RANGEL PESTANA,Av. Rangel Pestana - Pista Dir.
AV RANGEL PESTANA,Av. Rangel Pestana - Pista Esq.
VIA RAPOSO TAVARES,Rod. Raposo Tavares (SP-270)
R REACAO,R. Reação
AV REBOUCAS,Av. Rebouças
AV REPUBLICA DO LIBANO,Av. República do Líbano
R RHONE,R. Rhone
R RIBEIRO LACERDA,R. Ribeiro Lacerda
AV DR RICARDO JAFET,Av. Dr. Ricardo Jafet
AV RIO BRANCO,Av. Rio Branco
AV RIO DAS PEDRAS,Av. Rio das Pedras
ES DA RIVIERA,Est. da Riviera
R CEL RODOVALHO,R. Cel. Rodovalho
R RODOVALHO JUNIOR,R. Rodovalho Jr.
AV RUBEM BERTA,Av. Rubem Berta - Pista Central
AV RUBEM BERTA,Av. Rubem Berta
AV RUBEM BERTA,Av. Rubem Berta - Pista Lateral
AV RUBENS FRAGA DE TOLEDO ARRUDA,R. Rubens Fraga de Toledo Arruda
AV RUDGE,Av. Rudge
R RUI BARBOSA,R. Rui Barbosa
PC DA SE,Pç. da Sé
R SALVADOR DE MEDEIROS,R. Salvador de Medeiros
R SAMARITA,R. Samaritá
AV COMEN SANT ANNA,Av. Comendador Sant  Anna
AV SANTOS DUMONT,Av. Santos Dumont - Pista Esq.
AV SANTOS DUMONT,Av. Santos Dumont
AV SANTOS DUMONT,Av. Santos Dumont - Pista Dir.
AV SANTOS DUMONT,Av. Santos Dumont - Pista Lateral
AV MAL TITO,Av. Mal. Tito
R SAPETUBA,R. Sapetuba
R SAPETUBA,R. Sapetuba - Pista Dir.
R SAPETUBA,R. Sapetuba - Pista Esq.
AV SAPOPEMBA,Av. Sapopemba
R SARAPUI,R. Sarapuí
R ENG SATURNINO DE BRITO,R. Eng. Saturnino de Brito
R ENG OSCAR AMERICANO,Av. Eng. Oscar Americano
R SENA MADUREIRA,R. Sena Madureira
R SERGIO TOMAS,R. Sérgio Tomás
LG SETE DE SETEMBRO,Lg. Sete de Setembro
AV CEL SEZEFREDO FAGUNDES,Av. Cel. Sezefredo Fagundes
R CEDROLANDIA,R. Cedrolândia
R SILVA AIROSA,R. Silva Airosa
R SILVA BUENO,R. Silva Bueno
R SILVA TELES,R. Silva Teles
AV DR SYLVIO DE CAMPOS,Av. Dr. Sylvio de Campos
AV PIRAJUSSARA,Av. Pirajussara
AV SUMARE,Av. Sumaré
R SUSANA RODRIGUES,R. Suzana Rodrigues
R TABAPUA,R. Tabapuã
R TABOR,R. Tabor
R TACITO DE ALMEIDA,R. Tácito de Almeida
ES DAS TAIPAS,Est. das Taipas
AV DOS TAJURAS,Av. dos Tajurás
R TAQUARI,R. Taquari
R TAQUARICHIM,R. Taquarichim
R COMTE TAYLOR,R. Comandante Taylor
R TEODORO SAMPAIO,R. Teodoro Sampaio
AV BENTO GUELFI,Av. Bento Guelfi
AV TERESA CRISTINA,Av. Teresa Cristina
